,Pre-COVID + Pre-BFHI,Pre-COVID + Post-BFHI,Post-COVID
Formula,43.50736278447122,44.84605087014726,11.646586345381527
Mixed,26.42857142857143,21.428571428571427,52.142857142857146
Other,16.216216216216218,32.432432432432435,51.35135135135135
