Epoch,n,median,IQR,mean,sd
After BFHI / Pre-COVID,338,11.0,59.0,51.43,86.27
Post-COVID,213,12.0,34.0,35.57,53.35
Pre-BFHI / Pre-COVID,339,12.0,57.5,48.63,79.03
