Variable,Variable_Code,type,n,test,statistic,p_value,effect_size,effect_size_name,group_stats,n_categories,or,or_ci_low,or_ci_high,sig,p_formatted
Galactagogue use,galaktokogkullanımı,categorical,1064,Chi-square,2.5764285556092803,0.27576277939046695,0.04920828598322866,Cramér's V,,2.0,1.2378713510720745,0.9063396171496305,1.6906747237024138,,0.2758
Postnatal day of breastfeeding initiation,Postnatalgunemzirme,continuous,1064,Kruskal-Wallis,2.4959302516620085,0.28708839164021094,0.0023480058811495845,ε²,"{1: {'mean': 11.846050870147256, 'sd': 61.04473918450799, 'median': 5.0, 'n': 747}, 2: {'mean': 13.596428571428572, 'sd': 61.88628131626725, 'median': 4.0, 'n': 280}, 3: {'mean': 22.43243243243243, 'sd': 37.17940031533333, 'median': 5.0, 'n': 37}}",,,,,,0.2871
Weight on Day 1 (g),kilo1.gun,continuous,1064,Kruskal-Wallis,2.456090517335659,0.2928644928545453,0.002310527297587638,ε²,"{1: {'mean': 2581.91030789826, 'sd': 1397.3088655236845, 'median': 2625.0, 'n': 747}, 2: {'mean': 2593.15, 'sd': 823.3997311174606, 'median': 2700.0, 'n': 280}, 3: {'mean': 2369.7297297297296, 'sd': 930.3344275835152, 'median': 2425.0, 'n': 37}}",,,,,,0.2929
Breastfeeding duration of previous child (months),bironcekibebegikacayemzirdi,continuous,1064,Kruskal-Wallis,2.3957920088287303,0.30182859033516296,0.002253802454213293,ε²,"{1: {'mean': 6.022757697456493, 'sd': 9.796187987545158, 'median': 0.0, 'n': 747}, 2: {'mean': 4.696857142857143, 'sd': 7.982975531139582, 'median': 0.0, 'n': 280}, 3: {'mean': 5.72972972972973, 'sd': 8.112571344143223, 'median': 0.0, 'n': 37}}",,,,,,0.3018
Weight on first follow-up day (g),takipilkgün_kilo_gram,continuous,1064,Kruskal-Wallis,2.31792897426766,0.31381096798786673,0.0021805540679846287,ε²,"{1: {'mean': 2565.093708165997, 'sd': 837.4015931465193, 'median': 2625.0, 'n': 747}, 2: {'mean': 2606.65, 'sd': 817.5536366168991, 'median': 2747.5, 'n': 280}, 3: {'mean': 2380.2162162162163, 'sd': 933.3555394719973, 'median': 2435.0, 'n': 37}}",,,,,,0.3138
Maternal occupation,annemeslegi,categorical,1064,Chi-square,17.81989188097385,0.3345487286858371,0.09150961338877407,Cramér's V,,9.0,,,,,0.3345
Postnatal admission date (days),pntakibegirdigitarih,continuous,1054,Kruskal-Wallis,2.149301520950738,0.3414169707829801,0.0020411220521849363,ε²,"{1: {'mean': 3.1732070365358593, 'sd': 61.19356898809244, 'median': 1.0, 'n': 739}, 2: {'mean': 9.183453237410072, 'sd': 63.10685579778112, 'median': 1.0, 'n': 278}, 3: {'mean': 5.405405405405405, 'sd': 67.53659890897818, 'median': 1.0, 'n': 37}}",,,,,,0.3414
Weight on Day 2 (g),kilo2.gun,continuous,1064,Kruskal-Wallis,2.111688149996197,0.3478986507859313,0.0019865363593567233,ε²,"{1: {'mean': 2529.6385542168673, 'sd': 824.884380889817, 'median': 2600.0, 'n': 747}, 2: {'mean': 2560.782142857143, 'sd': 834.3453418703594, 'median': 2667.5, 'n': 280}, 3: {'mean': 2347.837837837838, 'sd': 897.2020865357392, 'median': 2410.0, 'n': 37}}",,,,,,0.3479
Delivery method,dogumsekli,categorical,1064,Chi-square,1.9485765678824634,0.37746090297256024,0.04279449678144085,Cramér's V,,2.0,0.9146199292615937,0.6831858633387609,1.2244539295856094,,0.3775
Maternal occupation (grouped),anne_meslek_grup,categorical,1064,Chi-square,4.210724178312311,0.3782379569421072,0.04448284802037641,Cramér's V,,3.0,,,,,0.3782
Gestational age (weeks),gebelikhaftası,continuous,1064,Kruskal-Wallis,1.9269977565387728,0.3815555313617098,0.0018127918688041137,ε²,"{1: {'mean': 35.53815261044177, 'sd': 4.0079784121861435, 'median': 36.0, 'n': 747}, 2: {'mean': 35.42142857142857, 'sd': 3.451804072783812, 'median': 36.0, 'n': 280}, 3: {'mean': 34.54054054054054, 'sd': 5.102257640793242, 'median': 36.0, 'n': 37}}",,,,,,0.3816
cinsiyeti,cinsiyeti,categorical,1064,Chi-square,1.8190150520893604,0.40272250555059186,0.04134731687626103,Cramér's V,,2.0,1.143852534562212,0.8776349807874476,1.4908232345643868,,0.4027
Days of orogastric tube use,kacgunogkullandi,continuous,1062,Kruskal-Wallis,1.6971600458757332,0.42802228245795115,0.0015995853401279294,ε²,"{1: {'mean': 6.888739946380697, 'sd': 17.622124799154697, 'median': 0.0, 'n': 746}, 2: {'mean': 6.663082437275985, 'sd': 18.45881374446606, 'median': 0.0, 'n': 279}, 3: {'mean': 8.567567567567568, 'sd': 15.100663231462054, 'median': 0.0, 'n': 37}}",,,,,,0.4280
Volume change Day 2→3 (cc),eng_delta_vol_d2_d3,continuous,1064,Kruskal-Wallis,1.6517014372834244,0.4378623363226475,0.0015538113238790447,ε²,"{1: {'mean': 9.344310575635879, 'sd': 122.21269291722682, 'median': 24.0, 'n': 747}, 2: {'mean': 17.795714285714283, 'sd': 97.3213098306749, 'median': 24.0, 'n': 280}, 3: {'mean': 22.231081081081083, 'sd': 73.1177487870605, 'median': 17.59999999999999, 'n': 37}}",,,,,,0.4379
Breast pump utilized,eng_pump_used,categorical,1064,Chi-square,1.5361786365201735,0.4638985846267223,0.03799706454481345,Cramér's V,,2.0,0.9804896447675217,0.7514059305918146,1.279414899931871,,0.4639
sayı,sayı,continuous,557,Kruskal-Wallis,1.305488281784387,0.5206151733837636,0.0023480005068064512,ε²,"{1: {'mean': 229.47489539748955, 'sd': 158.58444303868018, 'median': 223.5, 'n': 478}, 2: {'mean': 242.71428571428572, 'sd': 166.2061878944642, 'median': 224.0, 'n': 70}, 3: {'mean': 284.44444444444446, 'sd': 189.6991770614142, 'median': 362.0, 'n': 9}}",,,,,,0.5206
Gestational day within week,gebelikhaftagunu,categorical,1064,Chi-square,10.974920385148167,0.531069234333782,0.07181495247534313,Cramér's V,,7.0,,,,,0.5311
Maternal age (grouped),anne_yaşı_grup,categorical,1064,Chi-square,2.9872040627663896,0.5599690485237122,0.03746680274177359,Cramér's V,,3.0,,,,,0.5600
Breast problem experienced,memesorunuyaşamadurumu,categorical,1064,Chi-square,0.8998337910486501,0.6376811435768932,0.02908106686890448,Cramér's V,,2.0,0.8902993261244319,0.5000431844479942,1.5851288743643566,,0.6377
