Feeding Type,n,Mean ± SD,Median (IQR),Range
Exclusive BF,747,15.6 ± 21.4,7.0 (3.0–17.0),3–138
Formula,280,17.2 ± 28.3,7.0 (3.8–16.0),3–299
Mixed,37,21.9 ± 32.5,8.0 (5.0–24.0),3–176
