Timepoint,Exclusive BF (cc),Formula (cc),Mixed (cc)
Day 1,42.7904953145917,31.491785714285715,7.1891891891891895
Day 2,78.94243641231593,61.417857142857144,18.81081081081081
Day 3,105.44846050870147,81.81785714285714,27.35135135135135
Discharge,220.2777108433735,186.45,66.94594594594595
