Timepoint,Breast Milk (cc),Formula (cc),Total (cc),BM Percentage (%)
Day 1,7.1891891891891895,143.56756756756758,150.75675675675677,4.768734313373969
Day 2,18.81081081081081,175.17567567567568,193.98648648648648,9.696969696969697
Day 3,27.35135135135135,190.2,217.55135135135134,12.572365642159664
Discharge,66.94594594594595,301.18918918918916,368.1351351351351,18.185155274943103
